127.0.0.1 - - [29/Mar/2026:23:40:46 -0500] "GET /api/malaria/non-local-records/?reporting_year=2026&_order=created_at&_ascending=true HTTP/1.0" 500 178629 "http://72.61.170.115:9200/malaria/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
127.0.0.1 - - [29/Mar/2026:23:40:46 -0500] "GET /api/malaria/local-records/?reporting_year=2026&_order=created_at&_ascending=true HTTP/1.0" 500 189996 "http://72.61.170.115:9200/malaria/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
127.0.0.1 - - [29/Mar/2026:23:41:00 -0500] "GET /api/malaria/local-records/?reporting_year=2026&_order=created_at&_ascending=true HTTP/1.0" 500 189996 "http://72.61.170.115:9200/malaria/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
127.0.0.1 - - [29/Mar/2026:23:41:01 -0500] "GET /api/malaria/non-local-records/?reporting_year=2026&_order=created_at&_ascending=true HTTP/1.0" 500 178629 "http://72.61.170.115:9200/malaria/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
127.0.0.1 - - [29/Mar/2026:23:41:08 -0500] "GET /api/malaria/non-local-records/?reporting_year=2026&_order=created_at&_ascending=true HTTP/1.0" 500 178629 "http://72.61.170.115:9200/malaria/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
127.0.0.1 - - [29/Mar/2026:23:41:34 -0500] "GET /api/malaria/non-local-records/?reporting_year=2026&_order=created_at&_ascending=true HTTP/1.0" 500 178629 "http://72.61.170.115:9200/malaria/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
127.0.0.1 - - [30/Mar/2026:00:10:28 -0500] "GET /api/malaria/villages/?count=exact HTTP/1.0" 500 171369 "http://72.61.170.115:9200/malaria/admin" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
127.0.0.1 - - [30/Mar/2026:00:10:28 -0500] "GET /api/malaria/user-roles/?role=sk&count=exact HTTP/1.0" 500 154019 "http://72.61.170.115:9200/malaria/admin" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
127.0.0.1 - - [30/Mar/2026:00:10:28 -0500] "GET /api/malaria/local-records/?count=exact HTTP/1.0" 500 188835 "http://72.61.170.115:9200/malaria/admin" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
127.0.0.1 - - [30/Mar/2026:00:10:28 -0500] "GET /api/malaria/monthly-approvals/ HTTP/1.0" 500 195066 "http://72.61.170.115:9200/malaria/admin" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
127.0.0.1 - - [30/Mar/2026:00:10:28 -0500] "GET /api/malaria/local-records/ HTTP/1.0" 500 188365 "http://72.61.170.115:9200/malaria/admin" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
127.0.0.1 - - [30/Mar/2026:00:10:32 -0500] "GET /api/malaria/profiles/ HTTP/1.0" 500 154021 "http://72.61.170.115:9200/malaria/admin" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
127.0.0.1 - - [30/Mar/2026:00:10:38 -0500] "GET /api/malaria/auth/session/ HTTP/1.0" 200 243 "http://72.61.170.115:9200/malaria/admin" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
127.0.0.1 - - [30/Mar/2026:00:10:38 -0500] "GET /api/malaria/local-records/?count=exact HTTP/1.0" 500 189100 "http://72.61.170.115:9200/malaria/admin" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
